request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_92,34034,affordable_now,full_payment,2025-02-05:34034,2025-02-05,none,34034 ZAR is safe today before optional changes; the reserve is 28100 ZAR. Full payment: complete payment by 2025-02-05. Forecast minimum after payments: 29765.35 ZAR.
request_93,1729.2,affordable_now,full_payment,2026-04-07:1729.2,2026-04-07,none,1729.2 USD is safe today before optional changes; the reserve is 1900 USD. Full payment: complete payment by 2026-04-07. Forecast minimum after payments: 2002.58 USD.
request_94,572,affordable_now,full_payment,2024-12-04:572,2024-12-04,none,572 EUR is safe today before optional changes; the reserve is 600 EUR. Full payment: complete payment by 2024-12-04. Forecast minimum after payments: 1141.41 EUR.
request_95,4663.12,not_affordable,not_recommended,none,,none,4663.12 INR is safe today before optional changes; the reserve is 145500 INR. No permitted plan completes the request by 2025-07-14 while passing the 90-day reserve check.
request_96,72790.64,affordable_with_plan,installments,2026-01-10:31269.33|2026-02-09:31269.33|2026-03-11:31269.33,2026-02-15,stop:event_8914,72790.64 INR is safe today before optional changes; the reserve is 56500 INR. Installments: complete payment by 2026-03-11. Requires stop:event_8914. Forecast minimum after payments: 56852.59 INR.
request_97,1599.8,affordable_with_plan,installments,2024-03-19:8145.28|2024-04-19:8145.28|2024-05-20:8145.28,2024-04-15,none,1599.8 ZAR is safe today before optional changes; the reserve is 29700 ZAR. Installments: complete payment by 2024-05-20. Forecast minimum after payments: 31299.8 ZAR.
request_98,6553.28,affordable_later,wait,2025-10-15:27148,2025-10-15,none,6553.28 ZAR is safe today before optional changes; the reserve is 30000 ZAR. Wait: complete payment by 2025-10-15. Forecast minimum after payments: 33864 ZAR.
request_99,17425.62,affordable_with_plan,full_payment,2026-07-04:18062,2026-07-15,stop:event_9188,17425.62 ZAR is safe today before optional changes; the reserve is 49100 ZAR. Full payment: complete payment by 2026-07-04. Requires stop:event_9188. Forecast minimum after payments: 49515.22 ZAR.
request_100,25169.04,affordable_with_plan,installments,2024-06-13:12866.19|2024-07-14:12866.19|2024-08-14:12866.19,2024-07-15,stop:event_9267,25169.04 ZAR is safe today before optional changes; the reserve is 32500 ZAR. Installments: complete payment by 2024-08-14. Requires stop:event_9267. Forecast minimum after payments: 34583.06 ZAR.
request_101,143500,affordable_now,full_payment,2025-11-03:143500,2025-11-03,none,143500 INR is safe today before optional changes; the reserve is 187400 INR. Full payment: complete payment by 2025-11-03. Forecast minimum after payments: 194501.56 INR.
request_102,1716,affordable_with_plan,installments,2026-04-05:594.88|2026-05-05:594.88|2026-06-04:594.88,2026-04-05,none,1716 EUR is safe today before optional changes; the reserve is 900 EUR. Installments: complete payment by 2026-06-04. Forecast minimum after payments: 1909.51 EUR.
request_103,2041.62,not_affordable,not_recommended,none,,none,2041.62 INR is safe today before optional changes; the reserve is 125500 INR. No permitted plan completes the request by 2024-10-07 while passing the 90-day reserve check.
request_104,17204,affordable_now,full_payment,2025-02-04:17204,2025-02-04,none,17204 ZAR is safe today before optional changes; the reserve is 24700 ZAR. Full payment: complete payment by 2025-02-04. Forecast minimum after payments: 29546.82 ZAR.
request_105,51388.85,affordable_with_plan,full_payment,2026-06-08:53500,2026-06-15,reduce_to:event_9720:1632,51388.85 INR is safe today before optional changes; the reserve is 73900 INR. Full payment: complete payment by 2026-06-08. Requires reduce_to:event_9720:1632. Forecast minimum after payments: 74236.85 INR.
request_106,463.22,affordable_later,wait,2025-02-15:2207.7,2025-02-15,none,463.22 EUR is safe today before optional changes; the reserve is 1200 EUR. Wait: complete payment by 2025-02-15. Forecast minimum after payments: 1663.22 EUR.
request_107,2417.38,affordable_with_plan,installments,2025-05-08:878.59|2025-06-05:878.59|2025-07-03:878.59,2025-07-15,reduce_to:event_9959:42.5,2417.38 EUR is safe today before optional changes; the reserve is 1600 EUR. Installments: complete payment by 2025-07-03. Requires reduce_to:event_9959:42.5. Forecast minimum after payments: 1609.76 EUR.
request_108,1791.44,not_affordable,not_recommended,none,2026-09-15,none,1791.44 ZAR is safe today before optional changes; the reserve is 24100 ZAR. No permitted plan completes the request by 2026-07-26 while passing the 90-day reserve check.
request_109,472.92,affordable_with_plan,installments,2024-03-18:645.98|2024-04-18:645.98|2024-05-19:645.98,2024-05-15,stop:event_10080|stop:event_10081,472.92 EUR is safe today before optional changes; the reserve is 1700 EUR. Installments: complete payment by 2024-05-19. Requires stop:event_10080|stop:event_10081. Forecast minimum after payments: 1742.64 EUR.
request_110,22352,affordable_with_plan,installments,2025-08-06:7748.69|2025-09-03:7748.69|2025-10-01:7748.69,2025-08-06,none,22352 ZAR is safe today before optional changes; the reserve is 11200 ZAR. Installments: complete payment by 2025-10-01. Forecast minimum after payments: 22531.07 ZAR.
request_111,16625000,affordable_now,full_payment,2026-04-03:16625000,2026-04-03,none,16625000 IDR is safe today before optional changes; the reserve is 23022800 IDR. Full payment: complete payment by 2026-04-03. Forecast minimum after payments: 23727207.2 IDR.
request_112,271.7,affordable_now,full_payment,2024-06-05:271.7,2024-06-05,none,271.7 EUR is safe today before optional changes; the reserve is 500 EUR. Full payment: complete payment by 2024-06-05. Forecast minimum after payments: 516.41 EUR.
request_113,19354.58,affordable_later,wait,2026-10-15:36500,2026-10-15,none,19354.58 INR is safe today before optional changes; the reserve is 82300 INR. Wait: complete payment by 2026-10-15. Forecast minimum after payments: 86970.05 INR.
request_114,54888.32,not_affordable,not_recommended,none,2026-01-15,none,54888.32 INR is safe today before optional changes; the reserve is 113400 INR. No permitted plan completes the request by 2026-01-14 while passing the 90-day reserve check.
request_115,14648.43,affordable_later,wait,2024-11-15:80500,2024-11-15,none,14648.43 INR is safe today before optional changes; the reserve is 38800 INR. Wait: complete payment by 2024-11-15. Forecast minimum after payments: 53448.43 INR.
request_116,9229.72,not_affordable,not_recommended,none,,none,9229.72 INR is safe today before optional changes; the reserve is 80300 INR. No permitted plan completes the request by 2025-04-16 while passing the 90-day reserve check.
request_117,856.1,affordable_with_plan,full_payment,2026-07-05:880,2026-07-15,stop:event_10833|reduce_to:event_10878:20.5,856.1 EUR is safe today before optional changes; the reserve is 1000 EUR. Full payment: complete payment by 2026-07-05. Requires stop:event_10833|reduce_to:event_10878:20.5. Forecast minimum after payments: 1018.6 EUR.
request_118,651.87,affordable_with_plan,installments,2024-12-07:255.87|2025-01-07:255.87|2025-02-07:255.87,2024-12-15,none,651.87 EUR is safe today before optional changes; the reserve is 600 EUR. Installments: complete payment by 2025-02-07. Forecast minimum after payments: 908.09 EUR.
request_119,59410.4,affordable_with_plan,installments,2025-05-18:70546.67|2025-06-15:70546.67|2025-07-13:70546.67,2025-06-15,reduce_to:event_11016:2655,59410.4 INR is safe today before optional changes; the reserve is 151200 INR. Installments: complete payment by 2025-07-13. Requires reduce_to:event_11016:2655. Forecast minimum after payments: 151249.67 INR.
request_120,7714000,affordable_now,full_payment,2026-04-06:7714000,2026-04-06,none,7714000 IDR is safe today before optional changes; the reserve is 20050300 IDR. Full payment: complete payment by 2026-04-06. Forecast minimum after payments: 20853488.04 IDR.
request_121,633.6,affordable_now,full_payment,2024-03-03:633.6,2024-03-03,none,633.6 USD is safe today before optional changes; the reserve is 800 USD. Full payment: complete payment by 2024-03-03. Forecast minimum after payments: 850.22 USD.
request_122,20558000,affordable_with_plan,installments,2025-08-05:7126773.33|2025-09-02:7126773.33|2025-09-30:7126773.33,2025-08-05,none,20558000 IDR is safe today before optional changes; the reserve is 12588500 IDR. Installments: complete payment by 2025-09-30. Forecast minimum after payments: 24029021.28 IDR.
request_123,0,not_affordable,not_recommended,none,,none,0 IDR is safe today before optional changes; the reserve is 18091200 IDR. No permitted plan completes the request by 2026-03-28 while passing the 90-day reserve check.
request_124,1392.45,affordable_with_plan,installments,2024-06-11:1076.12|2024-07-12:1076.12|2024-08-12:1076.12,2024-07-15,stop:event_11448,1392.45 EUR is safe today before optional changes; the reserve is 1600 EUR. Installments: complete payment by 2024-08-12. Requires stop:event_11448. Forecast minimum after payments: 1608.18 EUR.
request_125,5876.31,not_affordable,not_recommended,none,2025-11-15,none,5876.31 ZAR is safe today before optional changes; the reserve is 11300 ZAR. No permitted plan completes the request by 2025-11-14 while passing the 90-day reserve check.
request_126,159600,affordable_now,full_payment,2026-07-03:159600,2026-07-03,none,159600 INR is safe today before optional changes; the reserve is 129700 INR. Full payment: complete payment by 2026-07-03. Forecast minimum after payments: 134394.56 INR.
request_127,7477.02,affordable_later,wait,2024-10-15:23980,2024-10-15,none,7477.02 ZAR is safe today before optional changes; the reserve is 41000 ZAR. Wait: complete payment by 2024-10-15. Forecast minimum after payments: 42230.48 ZAR.
request_128,25168,affordable_now,full_payment,2025-02-07:25168,2025-02-07,none,25168 ZAR is safe today before optional changes; the reserve is 42600 ZAR. Full payment: complete payment by 2025-02-07. Forecast minimum after payments: 44058.09 ZAR.
request_129,111.57,not_affordable,not_recommended,none,,none,111.57 USD is safe today before optional changes; the reserve is 800 USD. No permitted plan completes the request by 2026-06-18 while passing the 90-day reserve check.
request_130,372.53,affordable_later,wait,2025-02-15:1978.8,2025-02-15,none,372.53 USD is safe today before optional changes; the reserve is 1400 USD. Wait: complete payment by 2025-02-15. Forecast minimum after payments: 1683.75 USD.
request_131,1134.82,not_affordable,not_recommended,none,2025-07-23,none,1134.82 USD is safe today before optional changes; the reserve is 1100 USD. No permitted plan completes the request by 2025-07-08 while passing the 90-day reserve check.
request_132,260.6,affordable_later,wait,2026-01-15:379.86,2026-01-15,none,260.6 USD is safe today before optional changes; the reserve is 1100 USD. Wait: complete payment by 2026-01-15. Forecast minimum after payments: 1112.55 USD.
request_133,0,not_affordable,not_recommended,none,,none,0 IDR is safe today before optional changes; the reserve is 9986200 IDR. No permitted plan completes the request by 2024-03-29 while passing the 90-day reserve check.
request_134,4461408.14,affordable_later,wait,2025-10-15:21831000,2025-10-15,none,4461408.14 IDR is safe today before optional changes; the reserve is 15902500 IDR. Wait: complete payment by 2025-10-15. Forecast minimum after payments: 20363908.14 IDR.
request_135,281.82,affordable_with_plan,full_payment,2026-07-06:304.8,2026-07-15,stop:event_12413,281.82 USD is safe today before optional changes; the reserve is 500 USD. Full payment: complete payment by 2026-07-06. Requires stop:event_12413. Forecast minimum after payments: 500.02 USD.
request_136,528.1,affordable_with_plan,full_payment,2024-06-03:560.4,2024-06-15,reduce_to:event_12498:27.2,528.1 USD is safe today before optional changes; the reserve is 1100 USD. Full payment: complete payment by 2024-06-03. Requires reduce_to:event_12498:27.2. Forecast minimum after payments: 1108.5 USD.
request_137,24084.81,affordable_with_plan,wait,2026-01-15:80100,,stop:event_12572|reduce_to:event_12574:2068,24084.81 INR is safe today before optional changes; the reserve is 71800 INR. Wait: complete payment by 2026-01-15. Requires stop:event_12572|reduce_to:event_12574:2068. Forecast minimum after payments: 80079.82 INR.
request_138,747.56,affordable_with_plan,partial_payment,2026-04-07:747.56|2026-04-15:509.38,2026-04-15,none,747.56 EUR is safe today before optional changes; the reserve is 2300 EUR. Partial payment: complete payment by 2026-04-15. Forecast minimum after payments: 2300 EUR.
request_139,1247.41,not_affordable,not_recommended,none,2024-11-15,none,1247.41 USD is safe today before optional changes; the reserve is 1500 USD. No permitted plan completes the request by 2024-11-17 while passing the 90-day reserve check.
request_140,1545.69,not_affordable,not_recommended,none,,none,1545.69 ZAR is safe today before optional changes; the reserve is 21600 ZAR. No permitted plan completes the request by 2025-03-04 while passing the 90-day reserve check.
request_141,18191.39,not_affordable,not_recommended,none,,none,18191.39 INR is safe today before optional changes; the reserve is 67300 INR. No permitted plan completes the request by 2026-02-12 while passing the 90-day reserve check.
request_142,1263.6,affordable_now,full_payment,2024-12-05:1263.6,2024-12-05,none,1263.6 USD is safe today before optional changes; the reserve is 1700 USD. Full payment: complete payment by 2024-12-05. Forecast minimum after payments: 3103.32 USD.
request_143,2543.76,affordable_later,wait,2025-07-15:12584,2025-07-15,none,2543.76 ZAR is safe today before optional changes; the reserve is 11300 ZAR. Wait: complete payment by 2025-07-15. Forecast minimum after payments: 13331.24 ZAR.
request_144,233.34,affordable_now,full_payment,2026-07-04:233.34,2026-07-04,none,233.34 USD is safe today before optional changes; the reserve is 600 USD. Full payment: complete payment by 2026-07-04. Forecast minimum after payments: 618.26 USD.
request_145,27482.66,affordable_with_plan,installments,2024-03-20:75365.33|2024-04-20:75365.33|2024-05-21:75365.33,2024-04-15,none,27482.66 INR is safe today before optional changes; the reserve is 155400 INR. Installments: complete payment by 2024-05-21. Forecast minimum after payments: 182882.66 INR.
request_146,16037.1,not_affordable,not_recommended,none,,none,16037.1 INR is safe today before optional changes; the reserve is 108600 INR. No permitted plan completes the request by 2025-10-17 while passing the 90-day reserve check.
request_147,475.56,affordable_with_plan,installments,2026-04-08:391.63|2026-05-08:391.63|2026-06-07:391.63,2026-05-15,none,475.56 EUR is safe today before optional changes; the reserve is 900 EUR. Installments: complete payment by 2026-06-07. Forecast minimum after payments: 983.93 EUR.
